lr,hidden_dim,alpha,training_loss,training_acc,validation_loss,validation_acc
0.1,64,1,0.2552441435355051,0.9280555555555555,0.21373093358964937,0.9415
0.1,64,0.1,0.23711281905090087,0.9303888888888889,0.19409817715306907,0.9443333333333334
0.1,64,0.01,0.21922018661833675,0.9365925925925926,0.18555606092581642,0.9491666666666667
0.1,144,1,0.2041909392429595,0.9433518518518519,0.17049863334436902,0.955
0.1,144,0.1,0.1933742967330675,0.9438703703703704,0.16364169522453378,0.9563333333333334
0.1,144,0.01,0.20081901668176147,0.9415740740740741,0.1672480608354782,0.953
0.1,256,1,0.19896254884461126,0.9444814814814815,0.16654218340298685,0.9586666666666667
0.1,256,0.1,0.18479639464913128,0.9471296296296297,0.15649725633040928,0.9598333333333333
0.1,256,0.01,0.1863742920279165,0.9472962962962963,0.1537712638771798,0.9593333333333334
0.05,64,1,0.27703451590282224,0.9220925925925926,0.22734646378200007,0.9391666666666667
0.05,64,0.1,0.25899209899511444,0.9255740740740741,0.21381624303894994,0.9368333333333333
0.05,64,0.01,0.2668447023966377,0.9228703703703703,0.22429638230824317,0.9368333333333333
0.05,144,1,0.26195006023625284,0.9271296296296296,0.2181245279425666,0.9396666666666667
0.05,144,0.1,0.23905830867933145,0.9315185185185185,0.1990260545158942,0.9456666666666667
0.05,144,0.01,0.24966497994051817,0.9281666666666667,0.20818493836438354,0.9423333333333334
0.05,256,1,0.25337132749315905,0.9293888888888889,0.210422349729339,0.943
0.05,256,0.1,0.23505042659339143,0.9332777777777778,0.19558731586245387,0.9468333333333333
0.05,256,0.01,0.2429740143275632,0.9311296296296296,0.20456860747194003,0.9446666666666667
0.01,64,1,0.40719336151678165,0.8858333333333334,0.3386949126519665,0.9078333333333334
0.01,64,0.1,0.4063899105043959,0.8855740740740741,0.3327239410299516,0.91
0.01,64,0.01,0.4014178685935091,0.8856111111111111,0.33102667699598265,0.908
0.01,144,1,0.3976136058236918,0.887537037037037,0.33060532222609934,0.911
0.01,144,0.1,0.38874991155875643,0.8898333333333334,0.3211011817365814,0.9148333333333334
0.01,144,0.01,0.39748761029600466,0.888462962962963,0.33250194386299053,0.911
0.01,256,1,0.3851643350581975,0.892462962962963,0.31723970128246937,0.9165
0.01,256,0.1,0.37867524612281145,0.8940925925925925,0.3117454621804246,0.9148333333333334
0.01,256,0.01,0.387474430318526,0.8912222222222222,0.31677924585087613,0.915
best parameters: lr=0.1, hidden_dim=256, alpha=0.1